CLGT IN Equity,price,volume,mc,pe,bm,div
2021-08-31,1693.3,14540911.0,460553.2741,44.4786,39.5032,38.0
2021-09-30,1669.5,10533745.0,454080.016,43.8534,38.948,38.0
2021-10-31,1542.6,8924841.0,419565.039,40.5201,35.9875,38.0
2021-11-30,1434.35,11131683.0,390122.5941,37.6766,33.4621,39.0
2021-12-31,1481.3,11165966.0,402892.3196,38.9099,34.5574,39.0
2022-01-31,1424.5,7902224.0,387443.5356,37.4179,33.2323,39.0
2022-02-28,1450.4,6799929.0,394487.9636,38.0982,33.8366,39.0
2022-03-31,1542.25,9140908.0,419469.844,38.8966,24.1814,39.0
2022-04-30,1654.55,7161060.0,450013.8307,41.7289,25.9422,39.0
2022-05-31,1627.2,7930162.0,442575.0236,41.0391,25.5134,40.0
2022-06-30,1486.85,5782533.0,404401.8399,37.4994,23.3128,40.0
2022-07-31,1586.55,7036399.0,431518.8076,40.0139,24.876,40.0
2022-08-31,1674.95,7846005.0,455562.3377,42.2434,26.2621,40.0
2022-09-30,1629.4,5910364.0,443173.392,41.0946,25.5479,40.0
2022-10-31,1631.75,5142989.0,443812.5583,41.1538,25.5847,39.0
2022-11-30,1632.15,6597028.0,443921.3525,41.1639,25.591,39.0
2022-12-31,1536.3,10172468.0,417851.5295,38.7465,24.0881,39.0
2023-01-31,1453.05,7390994.0,395208.7255,36.6469,22.7828,39.0
2023-02-28,1473.5,5621874.0,400770.8317,37.1627,23.1035,39.0
2023-03-31,1507.35,5844261.0,409977.5454,39.1519,23.8874,39.0
2023-04-30,1595.1,4098958.0,433844.2848,41.4312,25.278,39.0
2023-05-31,1591.45,9620310.0,432851.5372,41.3364,25.2201,39.0
2023-06-30,1688.1,7142447.0,459138.9488,43.8468,26.7518,39.0
2023-07-31,2019.4,15572488.0,549247.7893,52.4519,32.002,39.0
2023-08-31,1942.05,12742064.0,528209.7005,50.4429,30.7762,39.0
2023-09-30,2005.55,10572931.0,545480.7883,52.0922,31.7825,39.0
2023-10-31,2113.8,10249151.0,574923.2331,54.9039,33.498,39.0
2023-11-30,2196.2,9341836.0,597334.8494,57.0442,34.8038,43.0
2023-12-31,2529.7,7153997.0,688042.0583,65.7065,40.0888,43.0
2024-01-31,2569.1,8289653.0,698758.2923,66.7299,40.7132,43.0
2024-02-29,2526.75,4302515.0,687239.7007,65.6299,40.0421,43.0
2024-03-31,2710.35,6112871.0,737176.2631,55.6883,39.3295,43.0
2024-04-30,2824.85,9424830.0,768318.6182,58.0409,40.991,43.0
2024-05-31,2657.35,9645330.0,722761.0245,54.5993,38.5604,58.0
2024-06-30,2843.15,9285091.0,773295.9553,58.4169,41.2566,58.0
2024-07-31,3412.1,11426152.0,928042.1818,70.1068,49.5125,58.0
2024-08-31,3640.35,9455143.0,990122.9027,74.7966,52.8246,58.0
2024-09-30,3804.5,12825411.0,1034769.345,78.1693,55.2066,58.0
2024-10-31,3062.5,10742926.0,832956.0041,62.9238,44.4395,58.0
2024-11-30,2889.75,11025832.0,785970.4859,59.3744,41.9328,60.0
2024-12-31,2680.65,8754087.0,729098.2898,55.0781,38.8985,60.0
2025-01-31,2821.55,12299091.0,767421.0656,57.9731,40.9431,60.0
2025-02-28,2464.6,9516585.0,670335.7936,50.639,35.7635,60.0
2025-03-31,2389.8,10482488.0,649991.2681,45.2357,39.0509,60.0
2025-04-30,2587.4,9339225.0,703735.6294,48.976,42.2799,60.0
2025-05-31,2455.9,12128658.0,667969.5185,46.4868,40.1311,51.0
2025-06-30,2407.1,10039779.0,654696.6196,45.5631,39.3336,51.0
2025-07-31,2245.3,17016990.0,610689.344,42.5005,36.6897,51.0
2025-08-31,2331.8,12895260.0,634216.1014,44.1378,38.1032,51.0
2025-09-30,2222.4,12592711.0,604460.873,42.067,36.3155,51.0
2025-10-31,2243.0,12610167.0,610063.7771,42.4569,36.6521,51.0
2025-11-30,2168.6,6996788.0,589828.0459,41.0486,35.4364,51.0
2025-12-31,2075.7,7296153.0,564560.5805,39.2902,33.9183,51.0
2026-01-31,2114.2,12035127.0,575032.0274,40.0189,34.5475,51.0
2026-02-28,2254.5,7230554.0,613191.6119,42.6746,36.8401,51.0
2026-03-31,2201.3,789607.0,598721.9894,41.6676,35.9707,51.0
