CIFC IN Equity,price,volume,mc,pe,bm,div
2025-06-30,1628.0,48227633.0,1369313.376,32.0978,5.7889,2.0
2025-07-31,1443.2,50585051.0,1213987.32,28.4543,5.1318,2.0
2025-08-31,1420.7,26514837.0,1195104.642,28.0106,5.0518,2.0
2025-09-30,1610.8,33812725.0,1355325.561,31.7587,5.7278,2.0
2025-10-31,1696.8,33319305.0,1427685.878,33.4543,6.0336,2.0
2025-11-30,1736.0,28009694.0,1464561.588,34.2271,6.173,2.0
2025-12-31,1702.2,42095067.0,1436575.896,33.5607,6.0528,2.0
2026-01-31,1631.6,32207165.0,1377098.4,32.1688,5.8017,2.0
2026-02-28,1730.8,38415654.0,1474104.104,34.1246,6.1545,2.0
2026-03-31,1668.5,4627970.0,1421043.851,32.8963,5.9329,2.0
