EXID IN Equity,price,volume,mc,pe,bm,div
2023-08-31,266.8,77541411.0,226780.0,27.562,2.0371,2.0
2023-09-30,260.6,45132868.0,221510.0,26.9215,1.9898,2.0
2023-10-31,255.4,42853336.0,217090.0,26.3843,1.9501,2.0
2023-11-30,284.75,54651736.0,242037.5,29.4163,2.1742,2.0
2023-12-31,317.85,76193036.0,270172.5,32.8357,2.4269,2.0
2024-01-31,334.95,87628413.0,284707.5,34.6023,2.5575,2.0
2024-02-29,320.3,54471364.0,272255.0,33.0888,2.4456,2.0
2024-03-31,304.55,40850104.0,258867.5,29.5393,2.0089,2.0
2024-04-30,472.4,467198397.0,401540.0,45.8196,3.116,2.0
2024-05-31,488.25,156736174.0,415012.5,47.3569,3.2206,2.0
2024-06-30,564.5,191982074.0,479825.0,54.7527,3.7235,2.0
2024-07-31,523.3,98126439.0,444805.0,50.7565,3.4518,2.0
2024-08-31,492.9,69994581.0,418965.0,47.808,3.2512,2.0
2024-09-30,502.55,70510135.0,427167.5,48.7439,3.3149,2.0
2024-10-31,455.45,121236249.0,387132.5,44.1756,3.0042,2.0
2024-11-30,452.6,81747564.0,384710.0,43.8991,2.9854,2.0
2024-12-31,416.55,60568785.0,354067.5,40.4025,2.7476,2.0
2025-01-31,374.5,66804177.0,318325.0,36.324,2.4703,2.0
2025-02-28,347.8,54063709.0,295630.0,33.7342,2.2941,2.0
2025-03-31,360.45,52479900.0,306382.5,38.5508,2.2021,2.0
2025-04-30,351.75,58401558.0,298987.5,37.6203,2.1489,2.0
2025-05-31,386.85,52029933.0,328822.5,41.3743,2.3633,2.0
2025-06-30,387.75,54988209.0,329587.5,41.4706,2.3688,2.0
2025-07-31,384.3,41622613.0,326655.0,41.1016,2.3478,2.0
2025-08-31,396.25,77389249.0,336812.5,42.3797,2.4208,2.0
2025-09-30,390.75,56848501.0,332137.5,41.7914,2.3872,2.0
2025-10-31,381.9,44986426.0,324615.0,40.8449,2.3331,2.0
2025-11-30,374.8,35575226.0,318580.0,40.0856,2.2897,2.0
2025-12-31,362.2,28454712.0,307870.0,38.738,2.2127,2.0
2026-01-31,321.6,35090193.0,273360.0,34.3957,1.9647,2.0
2026-02-28,334.3,38820682.0,284155.0,35.754,2.0423,2.0
2026-03-31,320.0,4809842.0,272000.0,34.2246,1.9549,2.0
