ABB IN Equity,price,volume,mc,pe,bm,div
2020-08-31,950.75,4648029.0,201471.8875,66.6725,5.7235,4.8
2020-09-30,859.5,4483824.0,182135.2483,60.2735,5.1741,4.8
2020-10-31,893.7,2925111.0,189382.5138,62.6718,5.38,4.8
2020-11-30,1073.75,3782161.0,227536.6166,75.298,6.4639,4.8
2020-12-31,1212.05,5566508.0,256843.5447,111.5041,7.1219,4.8
2021-01-31,1388.3,4024709.0,294192.3956,127.7185,8.1576,4.8
2021-02-28,1528.15,4671423.0,323827.7817,140.5842,8.9793,4.8
2021-03-31,1410.05,2263681.0,298801.4028,129.7194,8.2854,4.8
2021-04-30,1381.25,3384356.0,292698.4416,127.0699,8.1161,5.0
2021-05-31,1668.85,4689008.0,353643.2899,153.5281,9.806,5.0
2021-06-30,1808.2,5759748.0,383172.7219,166.3477,10.6249,5.0
2021-07-31,1699.15,2923168.0,360064.1154,156.3155,9.9841,5.0
2021-08-31,1895.75,3374400.0,401725.3019,174.402,11.1393,5.0
2021-09-30,1870.6,3214864.0,396395.8063,172.0883,10.9915,5.0
2021-10-31,2119.9,5562241.0,449224.5642,195.023,12.4564,5.0
2021-11-30,2061.85,4899136.0,436923.283,189.6826,12.1153,5.0
2021-12-31,2233.6,6138975.0,473318.5464,88.8818,11.7008,5.0
2022-01-31,2301.05,6257536.0,487611.7663,91.5659,12.0541,5.0
2022-02-28,2159.45,6194635.0,457605.5404,85.9312,11.3123,5.0
2022-03-31,2157.95,5441938.0,457287.6778,85.8715,11.3045,5.0
2022-04-30,2096.55,2755259.0,444276.5036,83.4282,10.9828,5.2
2022-05-31,2427.25,9524517.0,514354.6032,96.5877,12.7152,5.2
2022-06-30,2300.9,4421133.0,487579.98,91.5599,12.0533,5.2
2022-07-31,2736.15,8296028.0,579813.0975,108.8798,14.3334,5.2
2022-08-31,3262.75,10446356.0,691404.0505,129.8349,17.092,5.2
2022-09-30,3088.4,8518005.0,654457.8254,122.8969,16.1787,5.2
2022-10-31,3049.75,6225646.0,646267.5667,121.3589,15.9762,5.2
2022-11-30,3000.7,14848447.0,635873.4609,119.4071,15.7192,5.2
2022-12-31,2683.0,6110495.0,568550.1701,55.4339,11.5105,5.2
2023-01-31,2839.5,5096310.0,601713.8308,58.6674,12.1819,5.2
2023-02-28,3217.35,8251518.0,681783.4103,66.4742,13.8029,5.2
2023-03-31,3365.15,7162506.0,713103.4681,69.5279,14.437,5.2
2023-04-30,3417.95,6363201.0,724292.2303,70.6188,14.6635,5.5
2023-05-31,4125.9,8806058.0,874312.7644,85.2459,17.7008,5.5
2023-06-30,4423.0,5353605.0,937270.7426,91.3843,18.9754,5.5
2023-07-31,4552.8,6733963.0,964776.4497,94.0661,19.5322,5.5
2023-08-31,4381.55,5624698.0,928487.1405,90.5279,18.7975,11.0
2023-09-30,4098.25,5740701.0,868453.4978,84.6746,17.5821,11.0
2023-10-31,4109.3,5202046.0,870795.0854,84.9029,17.6295,11.0
2023-11-30,4419.75,4763543.0,936582.0404,91.3171,18.9614,11.0
2023-12-31,4674.85,5849130.0,990639.8669,79.3693,16.6645,11.0
2024-01-31,4671.6,4244171.0,989951.1647,79.3141,16.6529,11.0
2024-02-29,5444.95,17819519.0,1153830.507,92.444,19.4097,11.0
2024-03-31,6360.85,8832933.0,1347917.387,107.9941,22.6747,11.0
2024-04-30,6540.75,7072716.0,1386039.704,111.0484,23.3159,11.0
2024-05-31,8317.95,12365883.0,1762643.268,141.2216,29.6512,29.3
2024-06-30,8490.9,10739662.0,1799292.821,144.1579,30.2677,29.3
2024-07-31,7896.85,6725404.0,1673408.651,134.0722,28.1501,29.3
2024-08-31,7936.05,7528073.0,1681715.459,134.7377,28.2898,34.46
2024-09-30,8055.0,5652713.0,1706921.961,136.7572,28.7138,34.46
2024-10-31,7429.45,7905342.0,1574362.677,126.1367,26.4839,34.46
2024-11-30,7421.25,10079187.0,1572625.028,125.9975,26.4547,34.46
2024-12-31,6912.25,6221481.0,1464763.665,78.1398,20.7022,34.46
2025-01-31,5874.65,6349563.0,1244887.535,66.4102,17.5946,34.46
2025-02-28,4935.4,15522455.0,1045852.594,55.7924,14.7815,34.46
2025-03-31,5546.25,8861491.0,1175296.825,62.6978,16.611,34.46
2025-04-30,5522.5,9093328.0,1170264.001,62.4293,16.5399,34.46
2025-05-31,5971.0,6999973.0,1265304.907,67.4994,17.8832,67.0
2025-06-30,6080.5,4266738.0,1288508.874,68.7373,18.2111,67.0
2025-07-31,5510.0,7770641.0,1167615.146,62.288,16.5025,67.0
2025-08-31,4999.0,8347725.0,1059329.967,56.5114,14.972,43.27
2025-09-30,5183.3,5384354.0,1098384.68,58.5948,15.524,43.27
2025-10-31,5220.0,4914244.0,1106161.718,59.0097,15.6339,43.27
2025-11-30,5175.0,5154783.0,1096625.841,58.501,15.4991,43.27
2025-12-31,5170.0,3024073.0,1095566.299,65.6258,13.9807,43.27
2026-01-31,5578.5,7339100.0,1182130.87,70.8111,15.0853,43.27
2026-02-28,6073.0,10862913.0,1286919.561,77.0881,16.4225,43.27
2026-03-31,5914.0,866281.0,1253226.13,75.0698,15.9926,43.27
